contig	start_pos	end_pos	strand	id	GI	GeneID	gene	description
NC_000913.3	190	255	D	NP_414542.1	16127995	944742	thrL	thr operon leader peptide
NC_000913.3	337	2799	D	NP_414543.1	16127996	945803	thrA	bifunctional: aspartokinase I (N-terminal); homoserine dehydrogenase I (C-terminal); Bifunctional aspartokinase/homoserine dehydrogenase 1
NC_000913.3	2801	3733	D	NP_414544.1	16127997	947498	thrB	homoserine kinase
NC_000913.3	3734	5020	D	NP_414545.1	16127998	945198	thrC	L-threonine synthase
NC_000913.3	5234	5530	D	NP_414546.1	16127999	944747	yaaX	DUF2502 family putative periplasmic protein
NC_000913.3	5683	6459	R	NP_414547.1	16128000	944749	yaaA	peroxide resistance protein, lowers intracellular iron
NC_000913.3	6529	7959	R	NP_414548.1	16128001	944745	yaaJ	inner membrane transport protein; putative transporter
NC_000913.3	8238	9191	D	NP_414549.1	16128002	944748	talB	transaldolase B
NC_000913.3	9306	9893	D	NP_414550.1	16128003	944760	mog	putative molybdochetalase in molybdopterine biosynthesis; molybdochelatase incorporating molybdenum into molybdopterin
NC_000913.3	9928	10494	R	NP_414551.1	16128004	944792	satP	succinate-acetate transporter
NC_000913.3	10643	11356	R	NP_414552.1	16128005	944771	yaaW	UPF0174 family protein
NC_000913.3	11382	11786	R	NP_414554.1	16128007	944751	yaaI	UPF0412 family protein
NC_000913.3	12163	14079	D	NP_414555.1	16128008	944750	dnaK	chaperone Hsp70; DNA biosynthesis; autoregulated heat shock proteins; chaperone Hsp70, with co-chaperone DnaJ
NC_000913.3	14168	15298	D	NP_414556.1	16128009	944753	dnaJ	chaperone with DnaK; heat shock protein; chaperone Hsp40, DnaK co-chaperone
NC_000913.3	15445	16557	D	NP_414557.1	16128010	944754	insL1	IS186 transposase
NC_000913.3	16751	16960	R	NP_414559.1	16128012	944756	mokC	regulatory peptide whose translation enables hokC (gef) expression; completely contained in another CDS; regulatory protein for HokC, overlaps CDS of hokC
NC_000913.3	16751	16903	R	YP_025292.1	49175991	2847744	hokC	small toxic membrane polypeptide; completely contained in another CDS; toxic membrane protein, small
NC_000913.3	17489	18655	D	NP_414560.1	16128013	944758	nhaA	Na+/H antiporter, pH dependent; sodium-proton antiporter
NC_000913.3	18715	19620	D	NP_414561.1	16128014	944757	nhaR	transcriptional activator of nhaA
NC_000913.3	19811	20314	R	NP_414562.1	16128015	944743	insB1	IS1 transposase B
NC_000913.3	20233	20508	R	NP_414563.1	16128016	948449	insA	IS1 repressor TnpA
NC_000913.3	20815	21078	R	NP_414564.1	16128017	944759	rpsT	30S ribosomal subunit protein S20
NC_000913.3	21181	21399	D	NP_414565.1	16128018	949128	yaaY	uncharacterized protein
NC_000913.3	21407	22348	D	NP_414566.1	16128019	949129	ribF	bifunctional riboflavin kinase/FAD synthetase
NC_000913.3	22391	25207	D	NP_414567.1	16128020	944761	ileS	isoleucine tRNA synthetase; isoleucyl-tRNA synthetase
NC_000913.3	25207	25701	D	NP_414568.1	16128021	944800	lspA	prolipoprotein signal peptidase (SPase II); prolipoprotein signal peptidase (signal peptidase II)
NC_000913.3	25826	26275	D	NP_414569.1	16128022	944807	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
NC_000913.3	26277	27227	D	NP_414570.1	16128023	944777	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein
NC_000913.3	27293	28207	D	NP_414571.1	16128024	944796	rihC	ribonucleoside hydrolase 3
NC_000913.3	28374	29195	D	NP_414572.1	16128025	944762	dapB	dihydrodipicolinate reductase
NC_000913.3	29651	30799	D	NP_414573.1	16128026	949025	carA	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase
NC_000913.3	30817	34038	D	NP_414574.1	16128027	944775	carB	carbamoyl-phosphate synthase large subunit
NC_000913.3	34300	34695	D	NP_414576.4	90111079	944795	caiF	transcriptional regulator of cai operon; cai operon transcriptional activator
NC_000913.3	34781	35371	R	NP_414577.2	90111080	948999	caiE	possible synthesis of cofactor for carnitine racemase and dehydratase; stimulator of CaiD and CaiB enzyme activities
NC_000913.3	35377	36162	R	NP_414578.2	221800779	948995	caiD	carnitine racemase; carnitinyl-CoA dehydratase
NC_000913.3	36271	37824	R	NP_414579.4	221800780	944886	caiC	probable crotonobetaine/carnitine-CoA ligase; putative crotonobetaine/carnitine-CoA ligase
NC_000913.3	37898	39115	R	NP_414580.1	16128032	948997	caiB	l-carnitine dehydratase; crotonobetainyl CoA:carnitine CoA transferase
