contig	start_pos	end_pos	strand	id	GI	GeneID	gene	description
NC_000521.3	33641	41158	D	XP_001351080.1	124504675	814321	VAR	erythrocyte membrane protein 1, PfEMP1
NC_000521.3	43045	44255	R	XP_001351081.1	124504677	814322	RIF	rifin
NC_000521.3	48956	49949	R	XP_001351082.1	124504679	814324	stevor	stevor
NC_000521.3	52066	53260	R	XP_001351083.1	124504681	814325	RIF	rifin
NC_000521.3	58103	59390	D	XP_001351084.1	124504683	814326	RIF	rifin
NC_000521.3	61248	62459	D	XP_001351085.1	124504685	4794143	RIF	rifin
NC_000521.3	64604	65508	D	XP_001351086.1	124504687	814327	RIF-like	rifin
NC_000521.3	66136	68595	R	XP_001351087.1	124504689	814328	PfACS2	acyl-CoA synthetase, PfACS2
NC_000521.3	73172	74152	D	XP_001351088.1	124504691	814329	<NULL_VALUE>	Plasmodium exported protein (hyp13), unknown function
NC_000521.3	74873	77071	R	XP_002808616.1	296004338	9221788	FIKK3	Serine/Threonine protein kinase, FIKK family
NC_000521.3	78689	80193	R	XP_001351090.1	124504695	814331	<NULL_VALUE>	alpha/beta hydrolase, putative
NC_000521.3	81983	82809	R	XP_002808617.1	296004340	9221787	<NULL_VALUE>	Plasmodium exported protein, unknown function
NC_000521.3	84928	85909	R	XP_001351092.1	124504699	814333	<NULL_VALUE>	Plasmodium exported protein, unknown function
NC_000521.3	87793	90141	R	XP_002808618.1	296004342	9221772	<NULL_VALUE>	Plasmodium exported protein (hyp1), unknown function
NC_000521.3	93248	94587	R	XP_001351094.1	124504703	814335	<NULL_VALUE>	Plasmodium exported protein, unknown function
NC_000521.3	101005	101961	D	XP_001351095.1	124504705	814336	<NULL_VALUE>	Plasmodium exported protein, unknown function
NC_000521.3	102593	103789	R	XP_001351096.1	124504707	814337	<NULL_VALUE>	conserved Plasmodium protein, unknown function
NC_000521.3	104641	106560	R	XP_001351097.1	124504709	814338	<NULL_VALUE>	regulatory protein, putative
NC_000521.3	110750	114766	D	XP_001351098.1	124504711	814339	<NULL_VALUE>	serine/threonine protein kinase, putative
NC_000521.3	116138	121415	D	XP_001351099.1	124504713	814340	RhopH1(3.2)	Cytoadherence linked asexual protein 3.2
NC_000521.3	132097	137339	D	XP_001351100.1	124504715	814342	RhopH1(3.1)	Cytoadherence linked asexual protein 3.1
NC_000521.3	138235	142332	D	XP_001351101.1	124504717	814343	<NULL_VALUE>	ABC transporter, (TAP family), putative
NC_000521.3	143051	143735	R	XP_001351102.1	124504719	814344	<NULL_VALUE>	PFMNL-1 CISD1-like iron-sulfur protein, putative
NC_000521.3	144725	145984	R	XP_001351103.1	124504721	814345	<NULL_VALUE>	conserved Plasmodium protein, unknown function
NC_000521.3	148844	152822	R	XP_001351104.1	124504723	814346	<NULL_VALUE>	exportin 1, putative
NC_000521.3	156029	158380	R	XP_001351105.1	124504725	814347	<NULL_VALUE>	N-ethylmaleimide sensitive fusion protein, putative
NC_000521.3	159454	163779	R	XP_001351106.1	124504727	814348	<NULL_VALUE>	conserved Plasmodium protein, unknown function
NC_000521.3	166194	170976	D	XP_001351107.1	124504729	814349	<NULL_VALUE>	HAD superfamily protein, putative
NC_000521.3	171698	172475	R	XP_001351108.2	296004344	814350	<NULL_VALUE>	DNA-directed RNA polymerase subunit I, putative
NC_000521.3	175096	177803	D	XP_001351109.1	124504733	814351	<NULL_VALUE>	binding protein, putative
NC_000521.3	179407	186087	D	XP_001351110.1	124504735	814352	<NULL_VALUE>	spindle pole body protein, putative
NC_000521.3	186856	187395	D	XP_001351111.1	124504737	814353	Plrx	plasmoredoxin
NC_000521.3	187921	189267	R	XP_001351112.1	124504739	814354	<NULL_VALUE>	dihydrolipoamide acyltransferase, putative
NC_000521.3	191106	192887	D	XP_001351113.1	124504741	814355	<NULL_VALUE>	IBR domain protein, putative
